bias words,assertatives,factives,hedges,implicatives,report verbs,positive opinion words,negative opinion words,message,polarity
0.16666666666666666,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.08333333333333333,0.08333333333333333,0.027777777777777776,"Wow, that's crazy! 😲 Wisconsin definitely deserves more support for its universities. Education is so important, and they should get the funding they need to thrive. Let's hope the budget request goes through! 📚💪",0.49554013875123887
0.16666666666666666,0.027777777777777776,0.0,0.0,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.0,"Totally agree! Wisconsin's got some awesome potential, and it's time they get the support they deserve. Education is key, and investing in it is investing in our future! Fingers crossed for that budget! 🤞📚",0.9823182711198428
0.21212121212121213,0.030303030303030304,0.0,0.0,0.0,0.06060606060606061,0.15151515151515152,0.0,Absolutely! Wisconsin's universities deserve way more love and support! 🎓💪 Let's hope they make the right move with that budget. Investing in education is like investing in a brighter tomorrow! 🌟,0.9934432743890323
0.1388888888888889,0.0,0.0,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.08333333333333333,0.0,"Absolutely! Wisconsin deserves better support for its universities. 🎓 It's about time they get the funding they need to thrive. Education is everything, and boosting that budget would be a game-changer for the future! 💪📈",0.9881422924901185
0.20588235294117646,0.029411764705882353,0.0,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,"Absolutely! Wisconsin's got so much talent, it's about time they get the recognition and support they need. Education is the backbone of everything, let's hope they get that budget boost! 🎓💪",0.9915716410510659
0.19444444444444445,0.027777777777777776,0.0,0.0,0.027777777777777776,0.05555555555555555,0.1388888888888889,0.0,"Absolutely! Wisconsin deserves way better support for their universities. Education is the backbone of progress, and it's high time they get the funding to match their potential. Let's hope this budget boost happens! 🎓💪",0.9928514694201748
0.1794871794871795,0.0,0.0,0.02564102564102564,0.05128205128205128,0.0,0.07692307692307693,0.0,"Absolutely! 🎉 Wisconsin's universities deserve that boost. It's about time they get the funding to match their potential. Education is the backbone of progress, and we gotta invest in it! Let's make it happen! 🚀📖",0.9871668311944719
0.23809523809523808,0.047619047619047616,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,Totally agree! Wisconsin needs to step it up! 📚💰 Our future depends on this investment. Let's make it happen! 🚀,0.0
0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,"Wow, 43rd out of 50?! That's pretty low! 😲 Honestly, the extra $855 million sounds like a step in the right direction. Education is key, and investing in it is super important! 🏫📚",0.9932459276916965
0.1111111111111111,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.037037037037037035,"Wow, that's crazy! 😲 Wisconsin really needs that budget boost to step up their game! 🎓💰 Let's get those universities the support they deserve! 📚🔥",0.3303600925008259
0.09375,0.03125,0.0,0.03125,0.0,0.0625,0.09375,0.0,Totally agree! Wisconsin needs to step up and show some love to our unis! 🎓✨ That budget boost would be a game changer! Education is the key to a better future! 📚🚀,0.9894459102902374
0.14814814814814814,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,"Wow, that's crazy! 😮 Can't believe Wisconsin's so low on the list. We def need that budget boost to get things moving! 📚💪 #SupportEducation",0.0
0.21428571428571427,0.03571428571428571,0.0,0.03571428571428571,0.0,0.07142857142857142,0.03571428571428571,0.0,Totally agree! Wisconsin needs to step it up and give our unis the support they deserve. 🎓💰 It's about time we start investing in our future! 🌟,0.9727626459143969
0.14814814814814814,0.037037037037037035,0.0,0.0,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.0,Totally agree! Wisconsin needs to step it up. Our universities deserve better support. 📚💰 Education is key to a better future. Let's get that funding! 🚀,0.9910802775024777
0.0975609756097561,0.0,0.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.0,"Nah, I don't buy it. Wisconsin's universities are just fine. Why should they get more money? 🤔 There are other things that need funding too, like roads and healthcare. This budget request is just too much. Priorities, people! 😒",0.9799118079372856
0.16,0.04,0.0,0.0,0.04,0.08,0.08,0.0,Totally agree! Wisconsin needs to step it up for our universities. More support means better opportunities for everyone. Let's get that budget rolling! 📚🚀,0.9876543209876543
0.16666666666666666,0.06666666666666667,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,"Can't believe people still think throwing money at the problem is the solution. 🤦‍♂️ Maybe it's not just about the budget, but how they use it. Just saying!",-0.970873786407767
0.16129032258064516,0.03225806451612903,0.0,0.0,0.0,0.06451612903225806,0.06451612903225806,0.06451612903225806,Totally agree! Wisconsin deserves way more love and funding! 🎉 It's crazy how they're lagging behind in support. Time to step it up and invest in the future! 📚✨,0.0
0.14285714285714285,0.047619047619047616,0.0,0.0,0.0,0.09523809523809523,0.047619047619047616,0.047619047619047616,Why do you think Wisconsin's been lagging in support for so long? 🤔 Is it just politics or something else?,0.0
0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.029411764705882353,"Nah, I don't buy it. Wisconsin's universities are already getting enough cash. Throwing more money at 'em won't magically make things better. It's just gonna end up wasted. 🤷‍♂️💸",0.32959789057350036
