tweet_id,conversation_id,author_id,created_at,text
689267711856263168,689267711856263168,5402612,2016-01-19 02:06:43+00:00,"China's economy grew by 6.9% in 2015, marking its slowest growth in 25 years. _http"
637873886072320001,637873886072320001,759251,2015-08-30 06:26:00+00:00,"Sanders closes to 7 points behind Clinton in new Iowa poll.
_http _http"
524925215235911680,524925215235911680,8736882,2014-10-22 14:08:18+00:00,#BREAKING news: Shots fired at Parliament Hill. Follow developing story: _http _http
693935557009801218,693935557009801218,1367531,2016-01-31 23:15:04+00:00,Iran's supreme leader awards medals to troops who 'captured' U.S. sailors  _http _http
724603564946010112,724603564946010112,457984599,2016-04-25 14:18:47+00:00,Twenty-Five Stories Proving Target’s Pro-Trans Bathroom Policy Is Dangerous _http
666107476526432256,666107476526432256,343613500,2015-11-16 04:16:12+00:00,Muslim security guard stopped bomber from entering the stadium during #ParisAttacks _http #Zouheir _http
672169954016403456,672169954016403456,28785486,2015-12-02 21:46:20+00:00,"Pres. Obama on #SanBernardino: ""We have a pattern now of mass shootings in this country that has no parallel."" _http"
613194145423826944,613194145423826944,10774652,2015-06-23 03:57:31+00:00,@user not talking about ’92 Clinton-Gore Confederate campaign button _http _http
761573188543229952,761573188543229952,30313925,2016-08-05 14:42:52+00:00,Good news: Our businesses have added 15 million jobs over the past 77 months → _http _http
715268937873760256,715268937873760256,14511951,2016-03-30 20:06:18+00:00,"Donald Trump goes full anti-woman: ""punishment"" for women who abort _http _http"
623599854661541888,623599854661541888,18643437,2015-07-21 21:06:05+00:00,"OBAMA;

- Hours to light up White House in rainbow colors for gay marriage.

- 5 days to lower flag for dead Marines. _http"
716092408920936448,716092408920936448,47253057,2016-04-02 02:38:29+00:00,International criminal George Soros &amp; his boi @user are sooo busted #FauxProtests #Ringers @user _http
524936872666353664,524936872666353664,19038934,2014-10-22 14:54:37+00:00,More shots fired just off Parliament Hill. Police telling everyone to take cover.
649584608560832513,649584608560832513,143145579,2015-10-01 14:00:14+00:00,"This woman mistook builders’ foam for hair mousse

_http _http"
627828211003469825,627828211003469825,5695632,2015-08-02 13:08:04+00:00,This is how people in China are riding escalators after a horrific accident _http _http
743126914794037248,743126914794037248,1647857366,2016-06-15 17:03:57+00:00,People blame the massacre in Orlando on the NRA. Newsflash: The Orlando shooter wasn't a NRA member... But he was a registered Democrat.
614618682543616000,614618682543616000,2884771,2015-06-27 02:18:07+00:00,White House shines rainbow-colored lights in honor of #SCOTUS gay marriage decision #LoveWins _http _http
727623131494387714,727623131494387714,3540252020,2016-05-03 22:17:27+00:00,Clinton Campaign Made Payments to Hard Drive Destruction Company 🤔 Destruction of 14 hard drives @user ⁉️ _http
544305540286148609,544305540286148609,1960878613,2014-12-15 01:38:48+00:00,A man believed to be the gunman filmed wearing a black headband inside the cafe _http _http
525049639016615937,525049639016615937,63105173,2014-10-22 22:22:43+00:00,This is the soldier who died today at the #Ottawa War Memorial. His name is Cpl. Nathan Cirillo. #RIP #OttawaStrong _http
693265096278163456,693265096278163456,28785486,2016-01-30 02:50:53+00:00,German shepherd with a rare spinal condition looking for a forever home. _http _http
544291965513134080,544291965513134080,52327900,2014-12-15 00:44:51+00:00,"According to Seven, this is a picture of the gunman _http"
693456187036037123,693456187036037123,2557521,2016-01-30 15:30:13+00:00,"""Let's not make the next two weeks about a 'black QB.' Let's just talk about the greatness of this guy."" -C. Barkley _http"
544290258951892992,544290258951892992,3108351,2014-12-15 00:38:04+00:00,Central Sydney shut down by police amid ongoing hostage situation: _http
682916727282270208,682916727282270208,788524,2016-01-01 13:30:10+00:00,Erdoğan cites Hitler's Germany as example of effective government _http
707310135291416576,707310135291416576,16193222,2016-03-08 21:00:52+00:00,"Obama to skip Nancy Reagan's funeral, as he did Scalia's.  This time, he'll be attending SXSW:

_http"
544268732046913536,544268732046913536,16834659,2014-12-14 23:12:32+00:00,#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.
693129259334909952,693129259334909952,14075928,2016-01-29 17:51:07+00:00,Man’s Anxiety Not About To Let Depression Muscle In On Turf _http _http
613425834301485056,613425834301485056,23995748,2015-06-23 19:18:10+00:00,Police bought #DylannRoof food from @user after he was arrested for church shooting: _http _http
614614133410033664,614614133410033664,14173315,2015-06-27 02:00:03+00:00,The White House goes rainbow to celebrate Supreme Court marriage ruling _http _http
524943490887991296,524943490887991296,18999969,2014-10-22 15:20:55+00:00,"CONFIRMED | 1 shooter shot dead at Parliament Hill, but there is more than 1 suspect. #cbcOTT #OTTnews"
692082592380751874,692082592380751874,2367911,2016-01-26 20:32:02+00:00,Stiles (and the rest of us) just wants Lydia to wake up on #TeenWolf tonight at 9/8c: _http _http
614620298877513729,614620298877513729,28785486,2015-06-27 02:24:33+00:00,White House lit in rainbow colors following US Supreme Court ruling that same-sex couples have right to marry. _http
691789524498845699,691789524498845699,6017542,2016-01-26 01:07:30+00:00,President Obama announces ban on solitary confinement for juveniles in federal prisons - Washington Post _http
